baseline_kind,comparison,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,markov_weight,mean_delta,metric,sample_seed,scope,task_label,test_per_task,valid_records,validation_per_task
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,-0.019212839696761463,map,101,test_by_task,6,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,0.0,recall@10,101,test_by_task,6,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,0.0,top1_accuracy,101,test_by_task,7,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,0.0,mrr,101,test_by_task,7,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,0.0709909426109232,map,101,test_by_task,7,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,0.009795918367346945,recall@10,101,test_by_task,7,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,0.0,top1_accuracy,101,test_by_task,8,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,0.0,mrr,101,test_by_task,8,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,0.03928776528167188,map,101,test_by_task,8,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,0.0024489795918367085,recall@10,101,test_by_task,8,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,-0.020000000000000018,top1_accuracy,101,test_by_task,9,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,-0.010000000000000009,mrr,101,test_by_task,9,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,0.02468404199048635,map,101,test_by_task,9,50,550,20
transition_count,candidate_length_only_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,length_only,,,,0.003265306122448991,recall@10,101,test_by_task,9,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,top1_accuracy,101,test_by_task,0,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,mrr,101,test_by_task,0,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,-0.0071610921180588205,map,101,test_by_task,0,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0016326530612245094,recall@10,101,test_by_task,0,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.020000000000000018,top1_accuracy,101,test_by_task,1,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.018333333333333313,mrr,101,test_by_task,1,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0092131688656647,map,101,test_by_task,1,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0028571428571428914,recall@10,101,test_by_task,1,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,top1_accuracy,101,test_by_task,10,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,mrr,101,test_by_task,10,50,550,20
