ball_size_mean_r1_mean,ball_size_mean_r1_std,ball_size_mean_r2_mean,ball_size_mean_r2_std,ball_size_mean_r3_mean,ball_size_mean_r3_std,ball_size_std_r1_mean,ball_size_std_r1_std,ball_size_std_r2_mean,ball_size_std_r2_std,ball_size_std_r3_mean,ball_size_std_r3_std,edge_count_mean,edge_count_std,forman_count_mean,forman_count_std,forman_mean_mean,forman_mean_std,forman_near_zero_mass_mean,forman_near_zero_mass_std,forman_negative_mass_mean,forman_negative_mass_std,forman_positive_mass_mean,forman_positive_mass_std,forman_q05_mean,forman_q05_std,forman_q50_mean,forman_q50_std,forman_q95_mean,forman_q95_std,forman_std_mean,forman_std_std,n,node_count_mean,node_count_std,row_index_mean,row_index_std,task_id,task_id_mean,task_id_std,view
2.979930862300749,0.004321106203188041,6.406568081428846,0.08949491069713833,11.49558286921452,0.27607067409256825,1.2188279009150396,0.029694072305390118,2.917889598860497,0.05143921988411426,4.809801148786436,0.039403634430505985,103.5,22.5,103.5,22.5,-1.4611992945326278,0.0784832451499119,0.03880070546737213,0.02292768959435626,0.8196649029982364,0.029541446208112887,0.1415343915343915,0.006613756613756613,-4.0,0.0,-1.0,0.0,1.0,0.0,1.5382906041365314,0.018317397464230778,2,104.5,22.5,0.5,0.5,0,0.0,0.0,ast
2.9726027397260273,0.0,6.506849315068493,0.0,11.438356164383562,0.0,1.271097064072553,0.0,2.8912872787011294,0.0,5.031370905450663,0.0,72.0,0.0,72.0,0.0,-1.5833333333333333,0.0,0.027777777777777776,0.0,0.8194444444444444,0.0,0.1527777777777778,0.0,-4.0,0.0,-1.0,0.0,1.0,0.0,1.6308654825650772,0.0,2,73.0,0.0,0.5,0.5,1,1.0,0.0,ast
2.9822840632603405,0.003117396593673938,6.539385644768856,0.08105231143552327,12.588427615571776,0.1925942822384421,1.2685396036174676,0.027075693997502426,3.720667397500418,0.017972803903771206,7.522942344849328,0.2155964473832781,115.5,20.5,115.5,20.5,-1.5887770897832818,0.07298761609907123,0.05363777089783282,0.009520123839009288,0.7402476780185758,0.024458204334365297,0.20611455108359134,0.01493808049535604,-5.625,0.375,-1.0,0.0,1.0,0.0,2.050992835410754,0.02555898769611087,2,116.5,20.5,0.5,0.5,2,2.0,0.0,ast
2.9681818181818183,0.0015151515151514694,6.2727272727272725,0.06060606060606055,11.054545454545455,0.1454545454545455,1.1824520827820992,0.028149237040225872,2.9251940623684813,0.005909522926972333,5.07834846516911,0.10240634331921816,62.0,3.0,62.0,3.0,-1.3580182529335072,0.06571056062581482,0.06388526727509779,0.01303780964797914,0.7667535853976533,0.012907431551499371,0.16936114732724902,0.00013037809647978293,-4.0,0.0,-1.0,0.0,1.0,0.0,1.5564722520599024,0.04017030401883481,2,63.0,3.0,0.5,0.5,3,3.0,0.0,ast
2.9811507936507935,0.004960317460317443,6.54265873015873,0.13789682539682513,13.016865079365079,1.1359126984126986,1.271027952540738,0.046514536290853115,3.975632474321593,0.7643463960277281,8.22746278252,2.9530755197441207,113.0,30.0,113.0,30.0,-1.5950796191760048,0.1252001011037155,0.05109950290673182,0.009141460948689863,0.7431544359255202,0.01588170865279298,0.2057460611677479,0.02502316960148286,-6.5,2.5,-1.0,0.0,1.0,0.0,2.225079506922198,0.5011350986440474,2,114.0,30.0,0.5,0.5,4,4.0,0.0,ast
2.988829944002358,0.0026230474506336865,6.875390509873268,0.16598880047155884,13.611464780430298,0.6712938402593576,1.3841523207493376,0.06372939901757624,3.9198432201664044,0.10229527788447323,8.153934704938676,0.6718149165402756,188.5,44.5,188.5,44.5,-1.9086194563662375,0.17471387696709595,0.15075107296137338,0.09924892703862662,0.7222520267048165,0.04169647114926084,0.12699690033381023,0.057552455889365764,-6.0,0.0,-1.5,0.5,1.0,0.0,2.135498412066319,0.1083202575730573,2,189.5,44.5,0.5,0.5,5,5.0,0.0,ast
2.977133977133977,0.008880008880008727,7.1134421134421135,0.5578865578865582,14.775557775557775,2.727938727938728,1.4740626803394075,0.17732374284733743,5.227373768543036,1.8057906494935556,11.450977634843333,5.223979144070942,102.0,40.0,102.0,40.0,-2.181735574738755,0.5365742844161744,0.0,0.0,0.768400726942299,0.021921853702862315,0.23159927305770106,0.02192185370286233,-10.975,5.025,-1.0,0.0,1.0,0.0,3.4994242021744655,1.506721594241498,2,103.0,40.0,0.5,0.5,6,6.0,0.0,ast
2.9793032786885245,0.004303278688524648,6.1854508196721305,0.06045081967213095,11.279508196721311,0.17950819672131146,1.1257970628541805,0.019282264037643992,3.2306685356481584,0.08672594711381909,6.2173021107519055,0.36153572196896544,100.0,21.0,100.0,21.0,-1.2395648080343131,0.04969139031279424,0.12088084527670259,0.01961502249189246,0.6514279736374098,0.006799874463856048,0.22769118108588765,0.012815148028036405,-4.55,0.4500000000000002,-1.0,0.0,1.0,0.0,1.8384103752683032,0.06607765393289688,2,101.0,21.0,0.5,0.5,7,7.0,0.0,ast
2.986666666666667,0.0,7.32,0.0,15.013333333333334,0.0,1.5405049677153124,0.0,4.430680910800656,0.0,7.911162296963,0.0,149.0,0.0,149.0,0.0,-2.3624161073825505,0.0,0.087248322147651,0.0,0.7919463087248322,0.0,0.12080536912751678,0.0,-9.0,0.0,-1.0,0.0,1.0,0.0,3.0635654209759604,0.0,2,150.0,0.0,0.5,0.5,8,8.0,0.0,ast
2.9918593029628915,0.0013379759486733533,6.4872972885836795,0.13355579198504008,12.747219266853662,0.9921172260373341,1.2315081596819486,0.05638854707301344,4.143395526685658,0.7331214915969113,9.83684316657057,2.476726489058285,251.5,41.5,251.5,41.5,-1.5098163497480903,0.13780269787095722,0.07770193401592719,0.011035267349260525,0.6821306679668454,0.01070209653827403,0.24016739801722736,0.02173736388753454,-7.699999999999999,3.3000000000000007,-1.0,0.0,1.0,0.0,2.5095602341759466,0.626955735224473,2,252.5,41.5,0.5,0.5,9,9.0,0.0,ast
