ball_size_mean_r1,ball_size_mean_r2,ball_size_mean_r3,ball_size_std_r1,ball_size_std_r2,ball_size_std_r3,edge_count,forman_count,forman_mean,forman_near_zero_mass,forman_negative_mass,forman_positive_mass,forman_q05,forman_q50,forman_q95,forman_std,node_count,record_id,row_index,source_file,task_id,view
2.984251968503937,6.496062992125984,11.771653543307087,1.2485219732204296,2.969328818744611,4.849204783216941,126,126,-1.5396825396825398,0.015873015873015872,0.8492063492063492,0.1349206349206349,-4.0,-1.0,1.0,1.5566080016007622,127,task-00:0,0,task-00.csv,0,ast
2.975609756097561,6.317073170731708,11.21951219512195,1.1891338286096493,2.8664503789763827,4.770397514355929,81,81,-1.382716049382716,0.06172839506172839,0.7901234567901234,0.14814814814814814,-4.0,-1.0,1.0,1.5199732066723006,82,task-00:1,1,task-00.csv,0,ast
2.9726027397260273,6.506849315068493,11.438356164383562,1.271097064072553,2.8912872787011294,5.031370905450663,72,72,-1.5833333333333333,0.027777777777777776,0.8194444444444444,0.1527777777777778,-4.0,-1.0,1.0,1.6308654825650772,73,task-01:0,0,task-01.csv,1,ast
2.9726027397260273,6.506849315068493,11.438356164383562,1.271097064072553,2.8912872787011294,5.031370905450663,72,72,-1.5833333333333333,0.027777777777777776,0.8194444444444444,0.1527777777777778,-4.0,-1.0,1.0,1.6308654825650772,73,task-01:1,1,task-01.csv,1,ast
2.9791666666666665,6.458333333333333,12.395833333333334,1.2414639096199651,3.738640201404189,7.738538792232607,95,95,-1.5157894736842106,0.06315789473684211,0.7157894736842105,0.22105263157894736,-6.0,-1.0,1.0,2.025433847714643,96,task-02:0,0,task-02.csv,2,ast
2.9854014598540144,6.62043795620438,12.781021897810218,1.29561529761497,3.7026945935966467,7.307345897466051,136,136,-1.661764705882353,0.04411764705882353,0.7647058823529411,0.19117647058823528,-5.25,-1.0,1.0,2.0765518231068647,137,task-02:1,1,task-02.csv,2,ast
2.9696969696969697,6.212121212121212,10.909090909090908,1.1543028457418734,2.9311035852954537,5.180754808488328,65,65,-1.2923076923076924,0.07692307692307693,0.7538461538461538,0.16923076923076924,-4.0,-1.0,1.0,1.5163019480410675,66,task-03:0,0,task-03.csv,3,ast
2.966666666666667,6.333333333333333,11.2,1.210601319822325,2.919284539441509,4.975942121849892,59,59,-1.423728813559322,0.05084745762711865,0.7796610169491526,0.1694915254237288,-4.0,-1.0,1.0,1.5966425560787372,60,task-03:1,1,task-03.csv,3,ast
2.986111111111111,6.680555555555555,14.152777777777779,1.317542488831591,4.739978870349321,11.18053830226412,143,143,-1.7202797202797202,0.04195804195804196,0.7272727272727273,0.23076923076923078,-9.0,-1.0,1.0,2.7262146055662453,144,task-04:0,0,task-04.csv,4,ast
2.9761904761904763,6.404761904761905,11.880952380952381,1.2245134162498847,3.211286078293865,5.274387262775878,83,83,-1.4698795180722892,0.060240963855421686,0.7590361445783133,0.18072289156626506,-4.0,-1.0,1.0,1.7239444082781505,84,task-04:1,1,task-04.csv,4,ast
