cluster_bootstrap_ci95_high,cluster_bootstrap_ci95_low,cluster_mean_map_delta,feature_set,mean_map_delta,mean_recall_at_10_delta,mean_top1_delta,n_queries,n_seed_task_clusters,negative_map_delta_fraction,positive_map_delta_fraction
0.00042287750090874135,-0.0003437309816126754,2.130517818254915e-05,branching,2.130517818254916e-05,1.2368583797155193e-05,-0.0006060606060606061,1650,33,0.16121212121212122,0.17333333333333334
0.04497323893250684,0.012169454506920769,0.02711396321756479,length_only,0.02711396321756479,0.002683982683982684,0.0006060606060606061,1650,33,0.3606060606060606,0.6393939393939394
0.01159343865624573,0.0010815487451061347,0.006120187812217903,shape,0.006120187812217902,0.0013605442176870747,0.0018181818181818182,1650,33,0.4103030303030303,0.5896969696969697
0.023821408735265434,0.007857633197587597,0.015620264887227429,size_depth,0.015620264887227429,0.0023129251700680273,0.0030303030303030303,1650,33,0.34484848484848485,0.6551515151515152
