branching_entropy_max,branching_entropy_mean,branching_entropy_min,branching_entropy_std,diameter_max,diameter_mean,diameter_min,diameter_std,euclidean_stress_max,euclidean_stress_mean,euclidean_stress_min,euclidean_stress_std,geometry_advantage_max,geometry_advantage_mean,geometry_advantage_min,geometry_advantage_std,hyperbolic_stress_max,hyperbolic_stress_mean,hyperbolic_stress_min,hyperbolic_stress_std,leaf_fraction_max,leaf_fraction_mean,leaf_fraction_min,leaf_fraction_std,length_scale_max,length_scale_mean,length_scale_min,length_scale_std,log_edge_count_max,log_edge_count_mean,log_edge_count_min,log_edge_count_std,log_node_count_max,log_node_count_mean,log_node_count_min,log_node_count_std,max_branching_factor_max,max_branching_factor_mean,max_branching_factor_min,max_branching_factor_std,max_depth_max,max_depth_mean,max_depth_min,max_depth_std,mean_branching_factor_max,mean_branching_factor_mean,mean_branching_factor_min,mean_branching_factor_std,n,n_splits,split_seeds,syntax_errors,task_label
1.8474413198879172,1.6969109497243189,1.4262965064022284,0.08794584973311748,21.333333333333332,17.473333333333333,13.0,2.082813225852726,0.9317554566405066,0.885878247304713,0.8267107900907159,0.020567917342168403,0.41595070207161783,0.28481524391253404,0.21366308065734443,0.03860790081470885,0.6923484120216816,0.6339706186340638,0.49764762019684045,0.04145089232198631,0.5855127482830581,0.5334216271673754,0.48286923286923294,0.021864436227164635,10.852904586781678,9.405737613120289,8.137402327719117,0.6282239405853627,5.424216578373797,4.6981008031805525,4.0601490326304,0.31556318387107535,5.428688008407882,4.7076368099397365,4.077253295088717,0.3126609740254192,17.333333333333332,5.033333333333333,3.0,2.54920225598291,15.333333333333334,12.033333333333333,9.0,1.4199269023323737,2.393019816622301,2.127457336724311,1.9139229147036387,0.10031319756713535,50.0,3,"101,202,303",0.0,0
1.8941697957868513,1.7120590434099772,1.5292607085243557,0.09648448804623522,23.666666666666668,19.146666666666665,13.666666666666666,2.311872628082328,0.9452204457570798,0.9034140050278229,0.8436845369877949,0.022068382223989366,0.42877583302166355,0.33019533973417103,0.2579740112309364,0.038345491836626645,0.672795468043278,0.6052581837606756,0.5062674295058066,0.039714097700392574,0.5762062317342845,0.53579158881573,0.47700589731104254,0.023317600317850684,11.05554144585282,9.887324065978254,8.43674422898997,0.6048597213158842,5.525773802344059,4.939919812836096,4.210917050012512,0.3036292351325964,5.5297676435087615,4.947404253142158,4.2258271789774575,0.30123066492481243,8.666666666666666,4.806666666666667,3.0,1.244030930410799,17.333333333333332,13.719999999999999,10.0,1.7138505813291764,2.348330101271278,2.143482720551975,1.9008089133089132,0.10683546404050166,50.0,3,"101,202,303",0.0,1
1.8976676390373488,1.7326183273073479,1.5968202148707604,0.07472448866670707,25.0,18.206666666666667,13.666666666666666,3.2066003525456708,0.896262697862083,0.8496823952151652,0.7919543661376109,0.02261365947242649,0.5237248182648534,0.4025508870959493,0.28326939809102664,0.057485533237618396,0.6206527273959496,0.5084746438792354,0.3933108085909221,0.05799499877608569,0.5498802388539596,0.5223946090420112,0.4872575506563018,0.01483098068526244,10.65387253665518,9.66272940963299,8.775121523572206,0.503711069541031,5.324506496267014,4.827247595414922,4.38134103425179,0.2528824502445735,5.329366040388166,4.835481814218068,4.393780489320417,0.2508286889574778,9.333333333333334,5.6066666666666665,4.0,1.251583003339668,17.333333333333332,13.44,10.666666666666666,1.331669976113474,2.207621313721249,2.07852340910352,1.9313306220563777,0.06496907594250122,50.0,3,"101,202,303",0.0,2
1.9123724873841823,1.8097383969862328,1.7157088503752782,0.04594374927745937,19.0,14.573333333333332,11.333333333333334,1.7959864823524399,0.8797777474712842,0.8275378935293313,0.7863887868157073,0.01981611151245756,0.5462407466170965,0.42663358360838505,0.2885693460873914,0.06401470980454715,0.6171254996281533,0.47512377446160187,0.3732281727014907,0.060001867372800256,0.5134571521668295,0.4840497350177318,0.44547554654045524,0.015567262520238781,9.338096047761688,8.357743318404731,7.573949819168836,0.39112048277498007,4.664346884674033,4.1710668094719265,3.775632348748316,0.19703736415472503,4.673749163087655,4.1866765089328055,3.7983174704205194,0.19408330467196547,6.666666666666667,3.4599999999999995,3.0,0.7538220582056038,17.0,13.013333333333334,9.333333333333334,1.6580263745719561,2.0215277777777776,1.909459640789427,1.7783398634462462,0.05901704952286766,50.0,3,"101,202,303",0.0,3
1.8992144278003147,1.8008477203455453,1.5567960496765292,0.06190693784547962,20.333333333333332,16.426666666666666,11.666666666666666,1.8931487532954752,0.8957844004230542,0.8299396486997764,0.7780605949535261,0.026909387436060972,0.5427952496659033,0.4220100072501549,0.27655396960767575,0.06857075565668776,0.6284646529070432,0.48129929014939027,0.3666670530351734,0.07149955973184934,0.5813632383646528,0.49863459952447986,0.45356193514088244,0.02157791160321329,11.409512384130835,9.139747135958475,8.076749445636644,0.6346806741340946,5.702925076607627,4.564455266308969,4.029546516212693,0.31878540695944957,5.706587307523208,4.575291869649505,4.047202929423951,0.31589571034833447,10.666666666666666,5.433333333333334,3.0,1.4232092652158579,17.333333333333332,13.526666666666666,9.333333333333334,1.8336017162024068,2.385635496064944,1.9770198936309684,1.7999619854458564,0.09506918189359219,50.0,3,"101,202,303",0.0,4
1.952862352082388,1.8285491586726514,1.5306494220577462,0.10007754470138393,22.0,14.606666666666667,10.666666666666666,2.2295422533499116,0.9298993161203356,0.8727422709004119,0.8009387442266777,0.034156248980287574,0.4181283819002389,0.278799868597908,0.19726026601571298,0.04870050556592237,0.7446551937626765,0.6295602771855658,0.5006229118284663,0.05082107231981642,0.6774584929757345,0.5233532635094278,0.4056441455162137,0.056271614985952505,12.262796901613635,10.193920480674613,8.394531611667874,0.7316306621883847,6.130309191940999,5.093690741591822,4.189514420688494,0.366995095215324,6.132487709672638,5.100229739082791,4.205017190979379,0.3646358859488834,29.666666666666668,7.086666666666666,3.3333333333333335,4.59818136397239,14.0,9.906666666666666,7.666666666666667,1.5932392500497337,3.1588739360478493,2.116928308066097,1.6736400120405408,0.273930241040012,50.0,3,"101,202,303",0.0,5
1.8733561720486083,1.762714815545931,1.5577673411293151,0.07130805061241936,24.0,13.426666666666668,8.666666666666666,3.231507991738915,0.8978878411761917,0.8654006459864273,0.8080070846797556,0.01987444867586709,0.4114911165459387,0.26341284219494254,0.16118543961004997,0.059640820782784286,0.7412001417516169,0.6378533232581247,0.4922689448228608,0.05790116494595827,0.57216034839723,0.5033814017254964,0.44107299207722045,0.02996900770436815,12.589305676440182,9.451191856412803,7.86651649617497,0.9756197308388218,6.29371130412875,4.720678122388062,3.923451498083663,0.48966768980157394,6.295594372311432,4.730513734024742,3.9430649980913075,0.4859529119104773,22.666666666666668,9.92,3.6666666666666665,4.248155509312429,14.333333333333334,9.666666666666666,6.333333333333333,1.9664268784930206,2.3232519561815335,2.0014455439400667,1.774878173236382,0.1277977679489323,50.0,3,"101,202,303",0.0,6
1.9470836110937266,1.873208858233735,1.7879170522595527,0.03203314242341685,29.333333333333332,15.433333333333332,10.0,4.198823890861778,0.8976310149875074,0.8621286516519661,0.8002801633898228,0.01927943579182467,0.5739593989055025,0.2990134479989383,0.19962930192396108,0.07459002176790148,0.6939950441557242,0.6042990588769602,0.36696547654096817,0.0654385677292344,0.5054054054054055,0.4556918798556167,0.3991457124435847,0.02312512037818718,11.689019253080984,9.817465234349898,7.287951678987173,0.887636081792137,5.843041069736958,4.904610571882773,3.6301658882076455,0.44593330206771525,5.845978183344026,4.912854662467123,3.6577857907795277,0.4417042993003825,29.333333333333332,9.546666666666667,3.6666666666666665,4.919945719490159,24.666666666666668,11.146666666666667,7.333333333333333,3.1863475126270218,2.009676890273905,1.8254914428592672,1.6266666666666667,0.08191599996256164,50.0,3,"101,202,303",0.0,7
1.9511595764712613,1.8947726048512437,1.6623746986849766,0.052267701916872515,24.666666666666668,16.52,12.0,2.868525914493245,0.9321480817360689,0.8900743053207255,0.8008744620292217,0.035275429921015004,0.3560013223173631,0.2782541588920178,0.179051166933316,0.04048766993284211,0.7622982184877114,0.64282844720225,0.5586913444074706,0.050065216038892385,0.5856244212408596,0.4760212217465077,0.4081741828491949,0.035860385274960084,12.192415860553922,10.71278686138767,9.58845857730161,0.4934993600320993,6.095047085484748,5.353962822060933,4.7900788989133005,0.2472979540794469,6.097368775069172,5.358824039326737,4.798379678388311,0.24620146441027346,22.666666666666668,7.72,3.6666666666666665,4.43596464549683,15.0,10.546666666666667,8.0,1.6682673240754904,2.3998049275827054,1.9093479466948144,1.6814614678251043,0.14500776722296468,50.0,3,"101,202,303",0.0,8
1.9511810888092314,1.8887402353195497,1.772146105615166,0.03588755722289704,28.666666666666668,19.653333333333332,15.0,2.9030300661262363,0.9132234062490502,0.858461547503048,0.7997438870892526,0.027344399927106813,0.4754523942017122,0.32053308983512824,0.24855064892943282,0.045887386784462185,0.6601906552060893,0.5832665816279526,0.4430398413961962,0.0430056396317201,0.5076589971967101,0.46010637206011173,0.41376996676847355,0.02181842400374544,13.159444179826279,11.458863639157764,9.80753406540208,0.7759023378268145,6.579027192705635,5.727678770576262,4.900056754006587,0.38863641836608953,6.5804169871206435,5.731184868581504,4.9074773113954935,0.3872659845340405,21.666666666666668,9.566666666666666,4.666666666666667,3.6225933842883857,20.333333333333332,12.453333333333333,10.0,2.0485631948032794,2.022514952747511,1.8487603340235095,1.7011565553283345,0.07483688745558885,50.0,3,"101,202,303",0.0,9
1.9361842534986617,1.8776071749834475,1.7109658415764877,0.03890721301183492,26.333333333333332,18.58,13.333333333333334,3.1118475374789445,0.8918970910826821,0.8251355035120742,0.7762743486997498,0.026388594053447564,0.4076548298135614,0.2768390829091059,0.21131451739261062,0.0460498476111218,0.6508951779584421,0.5961394598516392,0.49846248904328144,0.03376540916958299,0.5749723090148622,0.47656147050913483,0.3911896447976984,0.03923954827225307,14.107921027796877,12.852902173594005,11.170567554279538,0.639075099975421,7.053521190185168,6.42559583206647,5.583404980299965,0.31983741748495936,7.054399837611709,6.427306341527536,5.587162573979573,0.3192376957141659,56.333333333333336,17.866666666666664,10.0,8.958843831897976,15.666666666666666,11.113333333333335,8.0,1.9247737345159093,2.347881487706236,1.918184073569588,1.6415016203670263,0.1453134380622284,50.0,3,"101,202,303",0.0,10
