baseline_kind,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,map,markov_weight,method,mrr,recall@10,sample_seed,scope,task_label,test_per_task,top1_accuracy,valid_records,validation_per_task
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.6115976318385454,0.9,candidate_size_depth,1.0,0.1853061224489796,101,test_by_task,10,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.8951847339307156,0.9,candidate_size_depth,1.0,0.20326530612244897,101,test_by_task,2,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.920731645766653,0.9,candidate_size_depth,1.0,0.2,101,test_by_task,3,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.8053487993660585,0.9,candidate_size_depth,1.0,0.20081632653061224,101,test_by_task,4,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.6306569942615043,0.9,candidate_size_depth,0.9602613878246062,0.18081632653061225,101,test_by_task,5,50,0.96,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.6013819351084542,0.9,candidate_size_depth,1.0,0.18163265306122447,101,test_by_task,6,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.6825661181146381,0.9,candidate_size_depth,0.98,0.18326530612244898,101,test_by_task,7,50,0.96,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.7311843114126879,0.9,candidate_size_depth,0.99,0.1816326530612245,101,test_by_task,8,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.831410226042976,0.9,candidate_size_depth,0.99,0.19346938775510203,101,test_by_task,9,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,0.0,,0.8700477667939763,1.0,candidate_branching,1.0,0.19673469387755102,101,test_by_task,0,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,0.0,,0.779235188326867,1.0,candidate_branching,0.9716666666666667,0.19020408163265304,101,test_by_task,1,50,0.96,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,0.0,,0.5443926960479137,1.0,candidate_branching,1.0,0.17959183673469387,101,test_by_task,10,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,0.0,,0.9148271382576602,1.0,candidate_branching,1.0,0.20326530612244897,101,test_by_task,2,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,0.0,,0.8872111110641819,1.0,candidate_branching,0.99,0.19714285714285715,101,test_by_task,3,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,0.0,,0.82174744070443,1.0,candidate_branching,1.0,0.20326530612244897,101,test_by_task,4,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,0.0,,0.5953218648766133,1.0,candidate_branching,0.9502817040624691,0.18,101,test_by_task,5,50,0.94,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,0.0,,0.5997236282869799,1.0,candidate_branching,1.0,0.17918367346938777,101,test_by_task,6,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,0.0,,0.6832333650433426,1.0,candidate_branching,0.99,0.17877551020408164,101,test_by_task,7,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,0.0,,0.7043570870137512,1.0,candidate_branching,0.99,0.17836734693877554,101,test_by_task,8,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,0.0,,0.8090985066920521,1.0,candidate_branching,1.0,0.1893877551020408,101,test_by_task,9,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,metric_distortion,0.050000000000000044,,0.8756493108537284,0.95,candidate_metric_distortion,1.0,0.19673469387755102,101,test_by_task,0,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,metric_distortion,0.050000000000000044,,0.8119084366448233,0.95,candidate_metric_distortion,0.9766666666666667,0.19551020408163264,101,test_by_task,1,50,0.96,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,metric_distortion,0.050000000000000044,,0.5561947396240828,0.95,candidate_metric_distortion,1.0,0.1820408163265306,101,test_by_task,10,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,metric_distortion,0.050000000000000044,,0.9118451264106662,0.95,candidate_metric_distortion,1.0,0.20244897959183675,101,test_by_task,2,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,metric_distortion,0.050000000000000044,,0.9183818538496898,0.95,candidate_metric_distortion,1.0,0.1979591836734694,101,test_by_task,3,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,metric_distortion,0.050000000000000044,,0.7937264337762998,0.95,candidate_metric_distortion,1.0,0.1995918367346939,101,test_by_task,4,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,metric_distortion,0.050000000000000044,,0.5983786559534857,0.95,candidate_metric_distortion,0.9502574503311259,0.18,101,test_by_task,5,50,0.94,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,metric_distortion,0.050000000000000044,,0.6038620182914974,0.95,candidate_metric_distortion,1.0,0.18,101,test_by_task,6,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,metric_distortion,0.050000000000000044,,0.6801339750765669,0.95,candidate_metric_distortion,0.99,0.17959183673469387,101,test_by_task,7,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,metric_distortion,0.050000000000000044,,0.6961808759580528,0.95,candidate_metric_distortion,0.99,0.17795918367346938,101,test_by_task,8,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,metric_distortion,0.050000000000000044,,0.8097380201921393,0.95,candidate_metric_distortion,1.0,0.1893877551020408,101,test_by_task,9,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,shape,0.09999999999999998,,0.856962521557177,0.9,candidate_shape,1.0,0.19755102040816325,101,test_by_task,0,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,shape,0.09999999999999998,,0.7619854893241341,0.9,candidate_shape,0.98,0.18979591836734694,101,test_by_task,1,50,0.96,550,20
