baseline_kind,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,map,map_std,markov_weight,method,mrr,mrr_std,recall@10,recall@10_std,sample_seed,scope,test_per_task,top1_accuracy,top1_accuracy_std,valid_records,validation_per_task
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed101.json,confirmatory_residual_sweep,residual_metric_distortion,0.030000000000000027,,0.7462868016068153,,0.97,candidate_residual_metric_distortion,0.9915402489842016,,0.18860853432282004,,101,test,50,0.9872727272727273,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed101.json,confirmatory_residual_sweep,residual_shape,0.0,,0.7462905266461608,,1.0,candidate_residual_shape,0.9901771246117396,,0.18871985157699445,,101,test,50,0.9854545454545455,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed101.json,confirmatory_residual_sweep,residual_all_nonlength,0.010000000000000009,,0.7466343477661868,,0.99,candidate_residual_all_nonlength,0.9901775421046944,,0.1888682745825603,,101,test,50,0.9854545454545455,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed202.json,confirmatory_residual_sweep,,,,0.7142647475092173,,,baseline,0.9709641873283824,,0.184860853432282,,202,test,50,0.9636363636363636,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed202.json,confirmatory_residual_sweep,residual_size_depth,0.0,,0.7142647475092173,,1.0,candidate_residual_size_depth,0.9709641873283824,,0.184860853432282,,202,test,50,0.9636363636363636,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed202.json,confirmatory_residual_sweep,residual_branching,0.010000000000000009,,0.7138312370275922,,0.99,candidate_residual_branching,0.9702348914089076,,0.18478664192949906,,202,test,50,0.9618181818181818,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed202.json,confirmatory_residual_sweep,residual_metric_distortion,0.020000000000000018,,0.717392007274016,,0.98,candidate_residual_metric_distortion,0.9708987087259145,,0.18556586270871986,,202,test,50,0.9636363636363636,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed202.json,confirmatory_residual_sweep,residual_shape,0.0,,0.7142647475092173,,1.0,candidate_residual_shape,0.9709641873283824,,0.184860853432282,,202,test,50,0.9636363636363636,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed202.json,confirmatory_residual_sweep,residual_all_nonlength,0.010000000000000009,,0.714978622385077,,0.99,candidate_residual_all_nonlength,0.9710112451941998,,0.18508348794063081,,202,test,50,0.9636363636363636,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed303.json,confirmatory_residual_sweep,,,,0.7658710010776418,,,baseline,0.9830565097984453,,0.19024118738404452,,303,test,50,0.9763636363636363,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed303.json,confirmatory_residual_sweep,residual_size_depth,0.0,,0.7658709912671319,,1.0,candidate_residual_size_depth,0.9830565097984453,,0.19024118738404452,,303,test,50,0.9763636363636363,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed303.json,confirmatory_residual_sweep,residual_branching,0.0,,0.7658709912671319,,1.0,candidate_residual_branching,0.9830565097984453,,0.19024118738404452,,303,test,50,0.9763636363636363,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed303.json,confirmatory_residual_sweep,residual_metric_distortion,0.020000000000000018,,0.767648511884689,,0.98,candidate_residual_metric_distortion,0.981134239160555,,0.19020408163265307,,303,test,50,0.9745454545454545,,550,20
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed303.json,confirmatory_residual_sweep,residual_shape,0.0,,0.7658709912671319,,1.0,candidate_residual_shape,0.9830565097984453,,0.19024118738404452,,303,test,50,0.9763636363636363,,550,20
