baseline_kind,ci95_high,ci95_low,comparison,delta_max,delta_min,delta_std,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,markov_weight,mean_delta,metric,p_one_sided,sample_seed,scope,test_per_task,valid_records,validation_per_task
transition_count,0.0051512044176004875,0.00014977846277914748,candidate_all_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,,,,0.0022713013179059332,mrr,0.0619876024795041,101,test,50,550,20
transition_count,0.010728145397110589,0.004779772280148346,candidate_all_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,,,,0.00771096304847825,map,0.0001999600079984003,101,test,50,550,20
transition_count,0.002671614100185529,0.0006679035250463822,candidate_all_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,,,,0.0016697588126159556,recall@10,0.0003999200159968006,101,test,50,550,20
transition_count,0.0036363636363636364,-0.007272727272727273,candidate_length_only_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,,,,-0.0018181818181818182,top1_accuracy,1.0,202,test,50,550,20
transition_count,0.0029136360715308085,-0.004177698483242482,candidate_length_only_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,,,,-0.0005232986715846055,mrr,1.0,202,test,50,550,20
transition_count,0.03346987807190646,0.022778197931072674,candidate_length_only_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,,,,0.02810244010583001,map,0.0001999600079984003,202,test,50,550,20
transition_count,0.005046382189239332,0.002040816326530612,candidate_length_only_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,,,,0.003487940630797774,recall@10,0.0001999600079984003,202,test,50,550,20
transition_count,0.005454545454545455,0.0,candidate_size_depth_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,,,,0.0018181818181818182,top1_accuracy,0.4991001799640072,202,test,50,550,20
transition_count,0.0039032021144858463,-0.001065972298134655,candidate_size_depth_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,,,,0.001115012959609945,mrr,0.20155968806238753,202,test,50,550,20
transition_count,0.021680863295611814,0.01492360520359519,candidate_size_depth_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,,,,0.01833773691026519,map,0.0001999600079984003,202,test,50,550,20
