ball_size_mean_r1,ball_size_mean_r2,ball_size_mean_r3,ball_size_std_r1,ball_size_std_r2,ball_size_std_r3,edge_count,forman_count,forman_mean,forman_near_zero_mass,forman_negative_mass,forman_positive_mass,forman_q05,forman_q50,forman_q95,forman_std,node_count,record_id,row_index,source_file,task_id,view
2.984251968503937,6.496062992125984,11.771653543307087,1.2485219732204296,2.969328818744611,4.849204783216941,126,126,-1.5396825396825398,0.015873015873015872,0.8492063492063492,0.1349206349206349,-4.0,-1.0,1.0,1.5566080016007622,127,task-00:0,0,task-00.csv,0,ast
2.975609756097561,6.317073170731708,11.21951219512195,1.1891338286096493,2.8664503789763827,4.770397514355929,81,81,-1.382716049382716,0.06172839506172839,0.7901234567901234,0.14814814814814814,-4.0,-1.0,1.0,1.5199732066723006,82,task-00:1,1,task-00.csv,0,ast
2.9857142857142858,6.571428571428571,12.6,1.2760749770051818,3.8175213670332093,7.6249590162833005,139,139,-1.6115107913669064,0.04316546762589928,0.7410071942446043,0.2158273381294964,-7.0,-1.0,1.0,2.229658783995662,140,task-00:2,2,task-00.csv,0,ast
2.984848484848485,6.606060606060606,12.212121212121213,1.2909055342104936,3.288542036161258,5.850447150782195,131,131,-1.6488549618320612,0.007633587786259542,0.8320610687022901,0.16030534351145037,-4.5,-1.0,1.0,1.7944939711661658,132,task-00:3,3,task-00.csv,0,ast
2.988372093023256,6.6395348837209305,12.488372093023257,1.2984264720835166,3.347726721563679,6.0391054821337145,171,171,-1.672514619883041,0.011695906432748537,0.8304093567251462,0.15789473684210525,-4.0,-1.0,1.0,1.805872193274272,172,task-00:4,4,task-00.csv,0,ast
2.963636363636364,6.490909090909091,11.727272727272727,1.2786873434557995,3.0203716043061943,5.164404552333724,54,54,-1.5925925925925926,0.05555555555555555,0.8333333333333334,0.1111111111111111,-4.0,-1.0,1.0,1.5696014889197845,55,task-00:5,5,task-00.csv,0,ast
2.984732824427481,6.541984732824427,12.19083969465649,1.2660254138304419,3.35270095511416,6.072229998732616,130,130,-1.5846153846153845,0.05384615384615385,0.7846153846153846,0.16153846153846155,-4.55,-1.0,1.0,1.8304459960290274,131,task-00:6,6,task-00.csv,0,ast
2.982300884955752,6.504424778761062,11.973451327433628,1.2549533777255248,3.1932558739005197,5.6513138530194995,112,112,-1.5535714285714286,0.05357142857142857,0.7946428571428571,0.15178571428571427,-4.0,-1.0,1.0,1.7104682197025014,113,task-00:7,7,task-00.csv,0,ast
2.9767441860465116,6.488372093023256,11.790697674418604,1.257320371247746,3.045179897105067,5.333344600673153,85,85,-1.5529411764705883,0.023529411764705882,0.8352941176470589,0.1411764705882353,-4.0,-1.0,1.0,1.5830416170289632,86,task-00:8,8,task-00.csv,0,ast
2.9696969696969697,6.393939393939394,11.484848484848484,1.2305418487422395,2.9689238325695784,4.843747685801752,65,65,-1.476923076923077,0.06153846153846154,0.8,0.13846153846153847,-4.0,-1.0,1.0,1.5699847359149441,66,task-00:9,9,task-00.csv,0,ast
