ball_size_mean_r1,ball_size_mean_r2,ball_size_mean_r3,ball_size_std_r1,ball_size_std_r2,ball_size_std_r3,edge_count,forman_count,forman_mean,forman_near_zero_mass,forman_negative_mass,forman_positive_mass,forman_q05,forman_q50,forman_q95,forman_std,node_count,ollivier_count,ollivier_mean,ollivier_near_zero_mass,ollivier_negative_mass,ollivier_positive_mass,ollivier_q05,ollivier_q50,ollivier_q95,ollivier_std,record_id,row_index,source_file,task_id,view
2.984251968503937,6.496062992125984,11.771653543307087,1.2485219732204296,2.969328818744611,4.849204783216941,126,126,-1.5396825396825398,0.015873015873015872,0.8492063492063492,0.1349206349206349,-4.0,-1.0,1.0,1.5566080016007622,127,126,-0.332010582010582,0.5555555555555556,0.4444444444444444,0.0,-1.0,0.0,0.0,0.4128107464808382,task-00:0,0,task-00.csv,0,ast
2.975609756097561,6.317073170731708,11.21951219512195,1.1891338286096493,2.8664503789763827,4.770397514355929,81,81,-1.382716049382716,0.06172839506172839,0.7901234567901234,0.14814814814814814,-4.0,-1.0,1.0,1.5199732066723006,82,81,-0.3230452674897119,0.5432098765432098,0.4567901234567901,0.0,-1.0,0.0,0.0,0.39401008862703046,task-00:1,1,task-00.csv,0,ast
2.9857142857142858,6.571428571428571,12.6,1.2760749770051818,3.8175213670332093,7.6249590162833005,139,139,-1.6115107913669064,0.04316546762589928,0.7410071942446043,0.2158273381294964,-7.0,-1.0,1.0,2.229658783995662,140,139,-0.3501199040767386,0.5179856115107914,0.48201438848920863,0.0,-1.0,0.0,0.0,0.40888169220562326,task-00:2,2,task-00.csv,0,ast
2.984848484848485,6.606060606060606,12.212121212121213,1.2909055342104936,3.288542036161258,5.850447150782195,131,131,-1.6488549618320612,0.007633587786259542,0.8320610687022901,0.16030534351145037,-4.5,-1.0,1.0,1.7944939711661658,132,131,-0.3396946564885496,0.5572519083969466,0.44274809160305345,0.0,-1.0,0.0,0.0,0.4174806343241156,task-00:3,3,task-00.csv,0,ast
2.988372093023256,6.6395348837209305,12.488372093023257,1.2984264720835166,3.347726721563679,6.0391054821337145,171,171,-1.672514619883041,0.011695906432748537,0.8304093567251462,0.15789473684210525,-4.0,-1.0,1.0,1.805872193274272,172,171,-0.3460038986354776,0.5614035087719298,0.43859649122807015,0.0,-1.0,0.0,0.0,0.42746605919998165,task-00:4,4,task-00.csv,0,ast
2.963636363636364,6.490909090909091,11.727272727272727,1.2786873434557995,3.0203716043061943,5.164404552333724,54,54,-1.5925925925925926,0.05555555555555555,0.8333333333333334,0.1111111111111111,-4.0,-1.0,1.0,1.5696014889197845,55,54,-0.32407407407407407,0.5925925925925926,0.4074074074074074,0.0,-1.0,0.0,0.0,0.42238869362803866,task-00:5,5,task-00.csv,0,ast
2.984732824427481,6.541984732824427,12.19083969465649,1.2660254138304419,3.35270095511416,6.072229998732616,130,130,-1.5846153846153845,0.05384615384615385,0.7846153846153846,0.16153846153846155,-4.55,-1.0,1.0,1.8304459960290274,131,130,-0.341025641025641,0.5538461538461539,0.4461538461538462,0.0,-1.0,0.0,0.0,0.4175653874812797,task-00:6,6,task-00.csv,0,ast
2.982300884955752,6.504424778761062,11.973451327433628,1.2549533777255248,3.1932558739005197,5.6513138530194995,112,112,-1.5535714285714286,0.05357142857142857,0.7946428571428571,0.15178571428571427,-4.0,-1.0,1.0,1.7104682197025014,113,112,-0.337797619047619,0.5535714285714286,0.44642857142857145,0.0,-1.0,0.0,0.0,0.41515190219857234,task-00:7,7,task-00.csv,0,ast
2.9767441860465116,6.488372093023256,11.790697674418604,1.257320371247746,3.045179897105067,5.333344600673153,85,85,-1.5529411764705883,0.023529411764705882,0.8352941176470589,0.1411764705882353,-4.0,-1.0,1.0,1.5830416170289632,86,85,-0.3333333333333333,0.5647058823529412,0.43529411764705883,0.0,-1.0,0.0,0.0,0.41617618189786515,task-00:8,8,task-00.csv,0,ast
2.9696969696969697,6.393939393939394,11.484848484848484,1.2305418487422395,2.9689238325695784,4.843747685801752,65,65,-1.476923076923077,0.06153846153846154,0.8,0.13846153846153847,-4.0,-1.0,1.0,1.5699847359149441,66,65,-0.3230769230769231,0.5692307692307692,0.4307692307692308,0.0,-1.0,0.0,0.0,0.4081194343759175,task-00:9,9,task-00.csv,0,ast
2.9865771812080535,6.597315436241611,12.476510067114093,1.2848449475890367,3.4328055387602325,6.261187455849027,148,148,-1.635135135135135,0.013513513513513514,0.8040540540540541,0.18243243243243243,-4.0,-1.0,1.0,1.8641302901072263,149,148,-0.34797297297297297,0.5540540540540541,0.44594594594594594,0.0,-1.0,0.0,0.0,0.4246344592469675,task-00:10,10,task-00.csv,0,ast
2.9743589743589745,6.589743589743589,11.974358974358974,1.3006345490228102,3.0103918197823942,4.695809258166917,77,77,-1.6623376623376624,0.0,0.8701298701298701,0.12987012987012986,-4.0,-1.0,1.0,1.600408954314203,78,77,-0.32987012987012987,0.5844155844155844,0.4155844155844156,0.0,-1.0,0.0,0.0,0.4232624072426367,task-00:11,11,task-00.csv,0,ast
2.973333333333333,6.413333333333333,11.586666666666666,1.232594373218087,3.0070731432555626,5.296774699968107,74,74,-1.4864864864864864,0.04054054054054054,0.8243243243243243,0.13513513513513514,-4.0,-1.0,1.0,1.578942883132814,75,74,-0.32207207207207206,0.5675675675675675,0.43243243243243246,0.0,-1.0,0.0,0.0,0.41312102317674587,task-00:12,12,task-00.csv,0,ast
2.9903846153846154,6.855769230769231,13.51923076923077,1.3762769756155435,4.12874135512444,8.858916378896689,207,207,-1.8840579710144927,0.014492753623188406,0.8260869565217391,0.15942028985507245,-7.4999999999999964,-1.0,1.0,2.4526603827601368,208,207,-0.3486312399355877,0.5652173913043478,0.43478260869565216,0.0,-1.0,0.0,0.0,0.43635334395282444,task-00:13,13,task-00.csv,0,ast
2.9895287958115184,6.706806282722513,13.178010471204189,1.3223393866021245,4.003650920125568,8.635112675054398,190,190,-1.736842105263158,0.02631578947368421,0.7894736842105263,0.18421052631578946,-6.199999999999996,-1.0,1.0,2.3247434553008186,191,190,-0.3508771929824562,0.5368421052631579,0.4631578947368421,0.0,-1.0,0.0,0.0,0.4227960979881342,task-00:14,14,task-00.csv,0,ast
2.971014492753623,6.36231884057971,11.579710144927537,1.2154919621021307,3.0879429600346637,5.223707931504708,68,68,-1.4411764705882353,0.029411764705882353,0.7794117647058824,0.19117647058823528,-4.0,-1.0,1.0,1.648371325788477,69,68,-0.33088235294117646,0.5588235294117647,0.4411764705882353,0.0,-1.0,0.0,0.0,0.4077403127356403,task-00:15,15,task-00.csv,0,ast
2.973684210526316,6.342105263157895,11.473684210526315,1.202778408634362,3.0111749393277463,5.179599873315064,75,75,-1.4133333333333333,0.05333333333333334,0.7866666666666666,0.16,-4.0,-1.0,1.0,1.6007775888264082,76,75,-0.32666666666666666,0.5466666666666666,0.4533333333333333,0.0,-1.0,0.0,0.0,0.40500571555180503,task-00:16,16,task-00.csv,0,ast
2.9849624060150375,6.548872180451128,11.962406015037594,1.2683833912339442,3.081514531967979,5.433682221272084,132,132,-1.5909090909090908,0.03787878787878788,0.8409090909090909,0.12121212121212122,-4.0,-1.0,1.0,1.5713078197676005,133,132,-0.3333333333333333,0.5833333333333334,0.4166666666666667,0.0,-1.0,0.0,0.0,0.42491829279939874,task-00:17,17,task-00.csv,0,ast
2.9884393063583814,6.526011560693641,12.202312138728324,1.253842368730073,3.3289177431872377,6.04985027051356,172,172,-1.558139534883721,0.03488372093023256,0.7848837209302325,0.18023255813953487,-4.0,-1.0,1.0,1.8082797373296513,173,172,-0.34689922480620156,0.5406976744186046,0.45930232558139533,0.0,-1.0,0.0,0.0,0.4140845589484495,task-00:18,18,task-00.csv,0,ast
2.9893048128342246,6.647058823529412,12.62566844919786,1.2998942976888552,3.649559260147893,7.425133208421337,186,186,-1.6774193548387097,0.026881720430107527,0.8064516129032258,0.16666666666666666,-4.0,-1.0,1.0,2.0643481114426385,187,186,-0.34498207885304655,0.543010752688172,0.45698924731182794,0.0,-1.0,0.0,0.0,0.4176675072737135,task-00:19,19,task-00.csv,0,ast
2.984848484848485,6.590909090909091,12.227272727272727,1.2850235729759065,3.30507998677918,5.953851451576368,131,131,-1.633587786259542,0.03816793893129771,0.8091603053435115,0.15267175572519084,-4.5,-1.0,1.0,1.8041771162280753,132,131,-0.34096692111959287,0.5572519083969466,0.44274809160305345,0.0,-1.0,0.0,0.0,0.41800317586213753,task-00:20,20,task-00.csv,0,ast
2.989247311827957,6.688172043010753,12.311827956989248,1.3157002604681658,3.072523024135387,5.239384546109791,185,185,-1.718918918918919,0.010810810810810811,0.8918918918918919,0.0972972972972973,-4.0,-1.0,1.0,1.555085439181908,186,185,-0.33693693693693694,0.5945945945945946,0.40540540540540543,0.0,-1.0,0.0,0.0,0.4366665830261789,task-00:21,21,task-00.csv,0,ast
2.976470588235294,6.341176470588235,11.4,1.1978065304668637,3.1042776603241444,5.432364884218853,84,84,-1.4047619047619047,0.08333333333333333,0.7261904761904762,0.19047619047619047,-4.0,-1.0,1.0,1.7121348941282664,85,84,-0.32936507936507936,0.5357142857142857,0.4642857142857143,0.0,-1.0,0.0,0.0,0.3883013053726374,task-00:22,22,task-00.csv,0,ast
2.9854014598540144,6.416058394160584,11.875912408759124,1.2141826210954147,3.2524944627419066,5.9602641095090325,136,136,-1.4558823529411764,0.029411764705882353,0.7573529411764706,0.21323529411764705,-4.0,-1.0,1.0,1.7483927369529302,137,136,-0.35049019607843135,0.5073529411764706,0.49264705882352944,0.0,-1.0,0.0,0.0,0.39774662045941966,task-00:23,23,task-00.csv,0,ast
2.981651376146789,6.6880733944954125,12.44954128440367,1.327076191449063,3.4179699101279186,5.643029699837643,108,108,-1.7407407407407407,0.0,0.8148148148148148,0.18518518518518517,-6.0,-1.0,1.0,2.015543169003822,109,108,-0.3449074074074074,0.5462962962962963,0.4537037037037037,0.0,-1.0,0.0,0.0,0.4148817220346826,task-00:24,24,task-00.csv,0,ast
2.980952380952381,6.6380952380952385,12.142857142857142,1.3091687830430159,3.024105722275783,4.888136408798388,104,104,-1.6923076923076923,0.009615384615384616,0.8846153846153846,0.10576923076923077,-4.0,-1.0,1.0,1.557098652307474,105,104,-0.3333333333333333,0.5961538461538461,0.40384615384615385,0.0,-1.0,0.0,0.0,0.4330127018922193,task-00:25,25,task-00.csv,0,ast
2.982300884955752,6.504424778761062,11.867256637168142,1.2549533777255248,3.1232043160981284,5.40812961432026,112,112,-1.5535714285714286,0.044642857142857144,0.8035714285714286,0.15178571428571427,-4.0,-1.0,1.0,1.678856358795888,113,112,-0.3363095238095238,0.5535714285714286,0.44642857142857145,0.0,-1.0,0.0,0.0,0.41005597690438716,task-00:26,26,task-00.csv,0,ast
2.971014492753623,6.478260869565218,11.63768115942029,1.2622847297343,2.932124400015194,4.785155228935353,68,68,-1.5588235294117647,0.029411764705882353,0.8529411764705882,0.11764705882352941,-4.0,-1.0,1.0,1.5471259211573423,69,68,-0.31862745098039214,0.5882352941176471,0.4117647058823529,0.0,-1.0,0.0,0.0,0.41787598439179413,task-00:27,27,task-00.csv,0,ast
2.9767441860465116,6.325581395348837,11.372093023255815,1.190824847859731,3.009449692664279,5.260750922674104,85,85,-1.388235294117647,0.07058823529411765,0.7529411764705882,0.17647058823529413,-4.0,-1.0,1.0,1.6094874423211942,86,85,-0.3333333333333333,0.5294117647058824,0.47058823529411764,0.0,-1.0,0.0,0.0,0.39191168806483695,task-00:28,28,task-00.csv,0,ast
2.989130434782609,6.739130434782608,12.902173913043478,1.335099452551816,3.687138531192469,7.344858868340576,183,183,-1.7704918032786885,0.01092896174863388,0.8360655737704918,0.15300546448087432,-4.0,-1.0,1.0,2.0755678079365776,184,183,-0.3451730418943534,0.5628415300546448,0.4371584699453552,0.0,-1.0,0.0,0.0,0.4303449751324778,task-00:29,29,task-00.csv,0,ast
